SL. Number,Number of Cycles,Stress (MPa),Solution Temperature (°C),Solution Time (hrs),Temperature Measurement (°C),Ann/Age. temp (cel),Ann/age time (hrs),Total Strain (%),R,Frequency (Hz),Ti,Al,V,C,N,O,H,Fe,Si,Sn,Nb,Mo,Zr,PI Fatigue Life
60,612,984.972,1020,1,25,700,2,1.25,-1,0.2,84.9,5.8,0,0.05,0.0025,0,0.004,0,0.34,4,0.7,0.5,3.7,578.0128587
58,596,985.906,1020,1,25,700,2,1.25,-1,0.2,84.9,5.8,0,0.05,0.0025,0,0.004,0,0.34,4,0.7,0.5,3.7,568.6073903
52,562,992.248,0,0,25,700,2,1.25,-1,0.2,84.9,5.8,0,0.05,0.0025,0,0.004,0,0.34,4,0.7,0.5,3.7,508.7448196
44,486,1004.95,1020,1,25,700,2,1.25,-1,0.2,84.9,5.8,0,0.05,0.0025,0,0.004,0,0.34,4,0.7,0.5,3.7,408.0256826
47,516,1000.4,1020,1,25,700,2,1.25,-1,0.2,84.9,5.8,0,0.05,0.0025,0,0.004,0,0.34,4,0.7,0.5,3.7,441.3798472
34,395,1020.37,1020,1,25,700,2,1.25,-1,0.2,84.9,5.8,0,0.05,0.0025,0,0.004,0,0.34,4,0.7,0.5,3.7,313.2834841
25,304,1036.68,1020,1,25,700,2,1.25,-1,0.2,84.9,5.8,0,0.05,0.0025,0,0.004,0,0.34,4,0.7,0.5,3.7,237.9578301
22,275,1041.23,1020,1,25,700,2,1.25,-1,0.2,84.9,5.8,0,0.05,0.0025,0,0.004,0,0.34,4,0.7,0.5,3.7,220.5464136
16,235,1049.37,1025,2,25,700,2,1.25,-1,0.2,84.9,5.8,0,0.05,0.0025,0,0.004,0,0.34,4,0.7,0.5,3.7,192.6692913
12,182,1059.34,1020,1,25,700,2,1.25,-1,0.2,84.9,5.8,0,0.05,0.0025,0,0.004,0,0.34,4,0.7,0.5,3.7,163.5168454
8,143,1061.22,1020,1,25,700,2,1.25,-1,0.2,84.9,5.8,0,0.05,0.0025,0,0.004,0,0.34,4,0.7,0.5,3.7,158.5805793
1,86,1067.63,1020,1,25,700,2,1.25,-1,0.2,84.9,5.8,0,0.05,0.0025,0,0.004,0,0.34,4,0.7,0.5,3.7,142.8482749
42,448,1010.41,1020,1,25,700,2,1.25,-1,0.2,84.9,5.8,0,0.05,0.0025,0,0.004,0,0.34,4,0.7,0.5,3.7,371.3748591
91,873,875.65,1020,1,25,0,0,0.8,-1,0.2,84.9,5.8,0,0.05,0.0025,0,0.004,0,0.34,4,0.7,0.5,3.7,987.2735454
19,249,935.1,1020,1,25,700,2,1,-1,0.2,84.9,5.8,0,0.05,0.0025,0,0.004,0,0.34,4,0.7,0.5,3.7,326.4468633
28,326,931.73,1020,1,25,700,2,1,-1,0.2,84.9,5.8,0,0.05,0.0025,0,0.004,0,0.34,4,0.7,0.5,3.7,346.9365057
32,370,929.5,1020,1,25,700,2,1,-1,0.2,84.9,5.8,0,0.05,0.0025,0,0.004,0,0.34,4,0.7,0.5,3.7,361.2538631
37,401,927.31,1020,1,25,700,2,1,-1,0.2,84.9,5.8,0,0.05,0.0025,0,0.004,0,0.34,4,0.7,0.5,3.7,375.8914955
43,461,922.94,1020,1,25,700,2,1,-1,0.2,84.9,5.8,0,0.05,0.0025,0,0.004,0,0.34,4,0.7,0.5,3.7,407.0286692
61,621,907.8,1020,1,25,700,2,1,-1,0.2,84.9,5.8,0,0.05,0.0025,0,0.004,0,0.34,4,0.7,0.5,3.7,537.8052036
56,576,915.26,1020,1,25,700,2,1,-1,0.2,84.9,5.8,0,0.05,0.0025,0,0.004,0,0.34,4,0.7,0.5,3.7,468.5435891
84,829,886.24,1020,1,25,0,0,0.8,-1,0.2,84.9,5.8,0,0.05,0.0025,0,0.004,0,0.34,4,0.7,0.5,3.7,806.3062014
95,964,867.01,1020,1,25,0,0,0.8,-1,0.2,84.9,5.8,0,0.05,0.0025,0,0.004,0,0.34,4,0.7,0.5,3.7,1166.809617
92,906,874.51,1020,1,25,0,0,0.8,-1,0.2,84.9,5.8,0,0.05,0.0025,0,0.004,0,0.34,4,0.7,0.5,3.7,1009.107653
46,499,920.73,1020,1,25,700,2,1,-1,0.2,84.9,5.8,0,0.05,0.0025,0,0.004,0,0.34,4,0.7,0.5,3.7,423.7649178
14,211,935.22,1020,1,25,700,2,1,-1,0.2,84.9,5.8,0,0.05,0.0025,0,0.004,0,0.34,4,0.7,0.5,3.7,166.9408037
11,173,935.34,1020,1,25,700,2,1,-1,0.2,84.9,5.8,0,0.05,0.0025,0,0.004,0,0.34,4,0.7,0.5,3.7,166.341265
10,149,928.1,1020,1,25,700,2,1,-1,0.2,84.9,5.8,0,0.05,0.0025,0,0.004,0,0.34,4,0.7,0.5,3.7,207.9996001
45,498,900.87,1020,1,25,0,0,0.8,-1,0.2,84.9,5.8,0,0.05,0.0025,0,0.004,0,0.34,4,0.7,0.5,3.7,489.8493093
36,399,909.55,1020,1,25,0,0,0.8,-1,0.2,84.9,5.8,0,0.05,0.0025,0,0.004,0,0.34,4,0.7,0.5,3.7,371.7491635
66,654,902.47,1020,1,25,700,2,1,-1,0.2,84.9,5.8,0,0.05,0.0025,0,0.004,0,0.34,4,0.7,0.5,3.7,465.4521064
55,575,897.49,1020,1,25,0,0,0.8,-1,0.2,84.9,5.8,0,0.05,0.0025,0,0.004,0,0.34,4,0.7,0.5,3.7,545.7578611
71,699,891.88,1020,1,25,0,0,0.8,-1,0.2,84.9,5.8,0,0.05,0.0025,0,0.004,0,0.34,4,0.7,0.5,3.7,653.600687
70,698,892.93,1020,1,25,700,2,1,-1,0.2,84.9,5.8,0,0.05,0.0025,0,0.004,0,0.34,4,0.7,0.5,3.7,631.8660188
81,800,868.57,1020,1,25,700,2,1,-1,0.2,84.9,5.8,0,0.05,0.0025,0,0.004,0,0.34,4,0.7,0.5,3.7,1400.191703
76,755,885.43,1020,1,25,0,0,0.8,-1,0.2,84.9,5.8,0,0.05,0.0025,0,0.004,0,0.34,4,0.7,0.5,3.7,805.3784412
75,753,883.35,1020,1,25,700,2,1,-1,0.2,84.9,5.8,0,0.05,0.0025,0,0.004,0,0.34,4,0.7,0.5,3.7,861.737515
65,654,897.25,1020,1,25,0,0,0.8,-1,0.2,84.9,5.8,0,0.05,0.0025,0,0.004,0,0.34,4,0.7,0.5,3.7,550.0155905
69,677,899.26,1020,1,25,700,2,1,-1,0.2,84.9,5.8,0,0.05,0.0025,0,0.004,0,0.34,4,0.7,0.5,3.7,353.6409105
7,116,912.52,1020,1,25,0,0,0.8,-1,0.2,84.9,5.8,0,0.05,0.0025,0,0.004,0,0.34,4,0.7,0.5,3.7,201.8656851
9,148,910.33,1020,1,25,0,0,0.8,-1,0.2,84.9,5.8,0,0.05,0.0025,0,0.004,0,0.34,4,0.7,0.5,3.7,221.309471
13,209,918.5,1020,1,25,0,0,0.8,-1,0.2,84.9,5.8,0,0.05,0.0025,0,0.004,0,0.34,4,0.7,0.5,3.7,157.1945555
18,249,915.24,1020,1,25,0,0,0.8,-1,0.2,84.9,5.8,0,0.05,0.0025,0,0.004,0,0.34,4,0.7,0.5,3.7,180.120233
27,325,910.82,1020,1,25,0,0,0.8,-1,0.2,84.9,5.8,0,0.05,0.0025,0,0.004,0,0.34,4,0.7,0.5,3.7,216.8016085
31,370,907.55,1020,1,25,0,0,0.8,-1,0.2,84.9,5.8,0,0.05,0.0025,0,0.004,0,0.34,4,0.7,0.5,3.7,248.8141071
41,444,900,1020,1,25,0,0,0.8,-1,0.2,84.9,5.8,0,0.05,0.0025,0,0.004,0,0.34,4,0.7,0.5,3.7,342.6198337
85,834,848.6,1020,1,25,700,2,1,-1,0.2,84.9,5.8,0,0.05,0.0025,0,0.004,0,0.34,4,0.7,0.5,3.7,3257.898127
